Time Taken;No. of Pieces;Order Type;Start Time;End Time;Gift Order(X/?);Time Taken
37205;4;P;08:55;9:55:00 AM;FALSE;1:00:00
37249;1;L;4:16:00 PM;4:35:00 PM;FALSE;0:19:00
37178;1;L;9:10:00 AM;9:30:00 AM;FALSE;0:20:00
37273;1;L;8:30:00 AM;8:50:00 AM;FALSE;0:20:00
37269;1;P;3:25:00 PM;4:10:00 PM;FALSE;0:45:00
37358;2;C;8:15:00 AM;8:25:00 AM;FALSE;0:10:00
37356;1;P;8:42:00 AM;8:55:00 AM;FALSE;0:13:00
37376;1;P;8:30:00 AM;8:45:00 AM;FALSE;0:15:00
37378;1;P;4:55:00 PM;17:05;FALSE;0:10:00
37408;1;P;8:30:00 AM;9:00:00 AM;FALSE;0:30:00
37412;1;C;10:15:00 AM;10:20:00 AM;FALSE;0:05:00
37432;5;P;4:32:00 PM;5:00:00 PM;FALSE;0:28:00
37455;2;P;10:05:00 AM;10:45:00 AM;FALSE;0:40:00
37515;1;C;8:35:00 AM;8:40:00 AM;FALSE;0:05:00
37506;1;P;8:47:00 AM;9:15:00 AM;FALSE;0:28:00
37509;1;P;9:25:00 AM;9:45:00 AM;FALSE;0:20:00
37504;1;P;3:40:00 PM;4:00:00 PM;FALSE;0:20:00
37531;1;L;8:43:00 AM;9:00:00 AM;FALSE;0:17:00
37543;1;P;9:05:00 AM;9:30:00 AM;FALSE;0:25:00
37540;1;P;3:07:00 PM;3:45:00 PM;FALSE;0:38:00
37569;1;P;8:20:00 AM;8:40:00 AM;FALSE;0:20:00
37573;2;C;11:15:00 AM;11:20:00 AM;FALSE;0:05:00
37585;3;P;8:42:00 AM;9:45:00 AM;FALSE;1:03:00
37582;1;P;3:55:00 PM;4:35:00 PM;FALSE;0:40:00
37637;1;P;9:45:00 AM;9:15:00 AM;FALSE;###############################################################################################################################################################################################################################################################
37628;1;C;9:30:00 AM;9:35:00 AM;FALSE;0:05:00
37606;1;P;10:05:00 AM;10:20:00 AM;FALSE;0:15:00
37626;1;P;10:45:00 AM;11:05:00 AM;FALSE;0:20:00
37654;1;C;3:55:00 PM;4:00:00 PM;FALSE;0:05:00
37598;1;P;4:15:00 PM;4:45:00 PM;FALSE;0:30:00
